Nazwa,Kcal,Bialko,Weglowodany,Tluszcz
"Ryż Curry",199,7.5,31.4,4.9
"Baton Nussini - Milka",560,7,52.5,35
"Wafle ryżowe z kaszą jaglaną",337,7,71.4,1.4
"Serek homogenizowany Darek czekoladowy - Mlekovita",131,5.5,16,5
"Lody jogurtowo-wiśniowe MANHATTAN",166,2,26.2,5.9
"Baton twarogowy Svalja",356,11.5,25.4,23
"Pomidory z kartonu - Freshona",24,1.1,3.8,0.1
"Zupa pieczarkowa wegetariańska",65,2,8,3
"Serek twarogowy z migdałami i sokiem z ananasa - Goldessa",382,9.6,21.2,28.5
"Wątróbki z dorsza atlantyckiego w tłuszczu własnym (konserwa) - Krakowski Kredens",609,4,0,66
"Ciastko amerykanka",299,6,46,10
"Babka Cytryniak",360,3.5,42,19.7
Pischinger,327,7,60,7
"tofu wędzone soja",169,16.3,4,9.8
"Kakao - Schovit (rozpuszczone)",85,3.8,12.7,1.9
"Zupa koperkowa Eat Me",37,1,6,1
"Kanapka z twarożkiem, szczypiorkiem i papryką",132,4,16,10
"Sałatka z brokułem i pomidorami",54,5,4,3
"Tuńczyk po meksykańsku - Rio Mare",200,10,10,13
"Mieszanka 7 składnikowa Wiosenny przysmak",33,1.9,4.2,0
"Kiełbasa wegetariańska Chorizo",455,24,1.9,38
"Fasola biała w sosie pomidorowym",75,4.4,12.2,0.2
"Pasztet z wątróbek",108,10,5,5
"Serek śmietankowy w plastrach z papryką - Piątnica",307,8.4,3,29
"Jogurt truskawkowy - Oshee",70,2.8,13,0.8
"Lody Algida Śmietankowa krówka",162,2.8,22,6.8
"Komosa ryżowa - Tesco (ugotowana)",114,4.4,18.5,1.9
"Jogurt naturalny 0% Activia - Danone",57,5,7,1
"Sos warzywny - Lubella",65,1,11,1
"Dżem z czarnej porzeczki - Owocowa Rapsodia",136,1,31.2,0.1
"krem z zielonych warzyw Iglotex",60,3.4,7.2,1.3
"Parówki z filetem z kurcząt - Drobimex",184,16,0.8,13
"Ogórek kanapkowy musztardowy - Provitus",58,0.8,13,0.4
"Jogurt Froop truskawkowy - Muller",103,3.9,16.1,2.2
"Sok marchwiowy - Vitaminka",39,0.5,8.2,0.1
"Baton z owocami goji - Legal Cakes",300,20,50,4
"Kotlet mielony z indyka z płatkami owsianymi i cebulą",115,17.6,1.6,4
Szakszuka,83,5,6,4
"Lody lewiatan rożek",226,3,30,10
"Odżywka Białkowa WPC Protein Econo V3",353,70,15,1.2
"Płatki jaglane opiekane - Sonko",380,10.7,73.5,3.6
"Baton protein - Dr. Ritter",388,20,52.5,8.2
"Kurczak po tajsku z ryżem",205,11.7,17.9,9.4
"Chipsy Sticks - Lay's",515,5.8,53,30
"Lody fruit Big Milk (w różowej polewie)",133,1.6,24,3.4
"Bavaria Piwo Bezalkoholowe",24,0.3,5.8,0
"Śmietana 50% mniej tłuszczu",98,4,4.1,7.3
"Papryka zielona smażona",127,0.8,4.2,11.9
"Coca-Cola Cherry",43,0,10.7,0
"Lody waniliowo-czekoladowe - Marletto Duo - Biedronka",170,1.9,22,8.1
"Naleśniki z mąki orkiszowej i twarogu",149,13.1,15.5,3.6
"Lody Kwaśniak",88,0,22,0
Nori,34,6,5,0.3
"Sos borowikowy - Knorr",59,1,6,3
"Płatki z ryżu i pełnego ziarna pszenicy z płatkami w polewie i truskawkami - Biedronka",399,7.7,78.7,5
"Serek homogenizowany waniliowy - Jovi",103,5,14,3.2
"Lody Cafe Morani Duo",93,1.1,12.1,4.5
"Wafle ryżowe bio z amarantusem - Vitanella",381,9,77,2.9
"Americana Tuńczyk z warzywmi - Graal",252,8,7,21
"Czekolada 81% - Arriba",550,10,22.8,42.8
"Chleb razowy ze słonecznikiem - Sobieski",225,5.4,48.7,1
"Ciasteczka 5 zbóż RicoRanki - Lidl",442,8.3,71,13
"Wołowina z pieczarkami",92,13.1,2,3.4
"Wafle gofrowe familijne z musem o smaku wanili - Jutrzenka",525,7.5,61,28
"Jogurt Fantasia z ananasem i kokosem - Danone",120,2.4,14.4,5.8
"Dżem jagodowy - Owocowa Rapsodia",170,0.5,40,0
"Lody łaciate - Koral",182,4,20,10
"krem pomidorowy z soczewicą",69,3.3,8.3,3
"Chrupkie paluchy pszenne - Biedronka",439,11,68,13
"Piernik - Lidl",348,6.7,68.8,4.5
"Maca (korzeń) w proszku BIO",369,10,76,1.3
"Syrop malinowy z cytryną Paola",330,0,82,0
"Musli bananowe - Tesco",458,8.7,65,16
"Czekolada mleczna z orzechami laskowymi - Terravita",546,6.5,50,35
"Ogórki konserwowe - Pariser",85,0.5,20,0.5
"Serek Śmietankowy - Bieluch",168,5.5,5,14
"Jogurt ze zbożami i brzoskiwnią - Kaufland",100,3,16,2.5
"Płatki śnaidaniowe Special Chocolate & strawberry - Fitella",374,7.8,72.8,5.7
"Ryż zwykły na mleku - Muller",101,3.4,16.1,2.6
"Pomidor puszka - Piotr i Paweł",23,1.3,3,0
"Mleko kokosowe - Thai Coco",178,0.9,2.5,18.2
"Filet z pstrąga w sosie paprykowym (konserwa) - Graal",117,14,4.5,4.8
"Napój mleczny Milk IT! bananowy - Biedronka",71,2.9,12.2,1.2
"Ciastka Cookies Sensations Choco inside - Milka",510,4.2,63,27
"Kulki ciasteczka z Biedronki",476,7,68,19
"Lody Rożek czekoladowy - Koral",264,3.8,33,13
"Lody Guliwer Almonds",234,3,19.4,16
"Chipsy Chipsletten Południowa Papryka - Lorenz",504,5.5,57.1,28.3
"Bita śmietanka spray BACOMA 17%",230,2.6,17,17
"Gulasz wołowy z kaszą gryczaną",102,6,7,6
"Jogurt naturalny BIO Wiśnia - Milbona",102,3.9,15,2.7
"Galaretka z pianką smak owoców leśnych - Winiary",67,1.7,12.4,1.2
"Mięso mielone z warzywami i koncentratem",85,9,6,3
"Płatki żytnie (600g) - BioAvena",295,9,60.1,1.7
"Wafel Tofelek",461,5,68,18
"Ryba z pieca z sosem pieczarkowym - Frosta",140,9.8,6.7,8.1
"Kefir o smaku waniliowym - Pilos",68,3,11,1.3
"Pstrąg tęczowy gotowany na parze Marinero",142,20.1,0,6.8
"Enchilada z serem i wołowiną",168,6.2,15.9,9.2
"Wafle Wafitki zbożowo-ryżowe",379,11.2,75,2.9
"Chili con carne z ryżem",67,5,10,1
"Falafel z dodatkiem jajka",241,13,36,5
"Musli lekkie zboża z owocami",341,9.3,72.9,3.1
"Sum filet w zalewie warzywnej - Superfish",85,9,3.3,3.9
"Sos indyjski - Łowicz",52,0.6,9.5,1.1
"Jogurt Jogobella American Mandarin Cheese cake - Zott",108,3.6,16,2.8
"Kaszka śmietankowa delicata - Biedronka",131,3.6,15.5,6
"Fasola czerwona w sosie Cayene",106,4.7,12.1,2.9
"Kefir owocowy - Isolda",81,2.7,14.1,1.5
"Zupa brokułowa z żółtym serem typu salami",81,3.6,4.2,5.8
"Sok jabłkowo-ananasowy świeżo wyciskany",46,0,11,0
"Jogurt naturalny śmietankowy wiejski - Strzałkowo",100,2.7,2.1,9
"Serek śmietankowy w plastrach - Piątnica",276,10,5,24
"Chleb organiczny ze słonecznikiem",216,5.6,34.7,4
"Serek Feta sałatkowy  - Piotr i Paweł",176,10,2.8,14
"Rewersy lajkonik",445,9,65,16
"Sheridan's Coffee Layered Liqueur",290,0,67.8,14.2
"Bułka toskańska",259,6,52,2
"Jogurt grecki light bez laktozy - Łowicz",74,4,5,4
"Lody jogurtowe z sosem mango",120,2,13.5,6.4
"Tuńczyk z kukurydzą marchewką groszkiem i oliwkami - Salatino",252,7.6,7.3,21
"Kiełbasa wieprzowa świeża surowa",304,15.1,0,26.5
"Białko Provit - Olimp",356,80,2.2,3
"Serek Danio Extra z kawałkami toffi",138,5.4,17.3,5.1
"Baton energetyczny Powerbread",414,6,68,12
"Trendy Lunch pomidory - Melvit",333,14,58,3
"Tuńczyk w oleju - Tesco",190,27,0,9
"Ciasto Czarny Las",190,5.4,28.9,7.5
"Chipsy Tasty o smaku grillowanych warzyw - Top",559,5.7,53,35
"Pierogi z serem Hiberto Polo",176,6.8,33,1.7
"Kotlety sojowe a'la schabowe - Orico (nieugotowane)",314,41.2,14.2,1.2
"Serek Danio waniliowy z rodzynkami",116,5.4,16.5,3.1
"Jogurt Polskie Smaki - Bakoma",70,2.1,12.5,1.3
"Płatki Clusters - Nestle",401,10.4,66.2,8.8
"Napój Mullermilch Czekoladowy - Muller",79,3.5,12.4,1.6
"Baileys Irish Cream",350,3.2,43,19.7
"makrela w sosie pomidorowym kaufland",190,12,5.1,13
"Łosoś marynowany",128,9,2.6,9.1
"Ciastka Amaretti Italiamo - Lidl",434,6,78,10
"Majonez light - Heinz",271,0.7,8.8,25.6
"Żeberka wieprzowe wędzone",283,22.5,1.2,18.9
"Mieszanka warzywna 6 składników",43,2.7,5.3,0.5
"Płatki owsiane błyskawiczne  - Plony Natury",363,13,60,5.7
"Pierogi ruskie - Virtu",196,6,30,5.1
"Konfitura Maliny z rumem - Spiżarnia",187,1,50,0.2
Tequilla,231,0,0,0
"Chleb musli",226,5.8,34,6.3
"Makrela w oleju",266,19.7,0.1,20.8
"Kiełbasa śląska - Tarczyński",201,20.2,0,13.4
"Kurczak po tajsku",94,10.8,2.1,4.7
"Kasza kukurydziana (ugotowana)",109,2.5,23.1,0.3
"szpinak mrożony tesco",25,3.2,0.6,0.2
"Krewetki z masłem czosnkowym - MyFood",416,9.4,0.8,42
"Omlet a la pizza - vege salami, ser, pomidor, cebula, mąka , jajko, ketchup",169,7.3,23.8,4.6
"Mini pizza ser+szynka - Dr. Oetker",267,9.6,35.7,9.3
"KFD Premium WPC 80 smak pistacjowy",412,79,9,7
"Filety śledziowe w oleju a'la Matijas - Lisner",212,18,0,16
"Czekolada żurawinowa  - Wawel",494,4.1,56.7,27.6
"Napój Lipton Ice Tea brzoskwiniowy - Lipton",19,0,4.7,0
"ciastko maślane lidl",551,4.9,62,31
"Filety śledziowe w sosie śmietanowym z grzybami - Lisner",289,6.7,5.7,26.5
"Chrupsy plasterki jabłka z sokiem truskawkowym - Crispy Natural",68,0.3,15.4,0.1
"Quiche ze szpinakiem",239,7.7,11.7,18.2
"zielona soczewica",315,24,46,2
"Mąka kasztanowa",369,5,78.4,3.9
"Ciastka Lu Go nadziewane kremem czekoladowo-orzechowym",465,7.7,66,18
"Sok z czerwonych grejfrutów - Melly",38,0.6,7.4,0.1
"Ser salami z pomidorami i bazylią SPOMLEK",349,25,1.5,27
"Ser Tofu Eko",112,12,3,6
"Placki z dyni",102,4,7,7
"Kiełbasa Fuet hiszpański",458,23.5,5.5,38
"guma orbit dla dzieci",146,0,61,0
"Marmolada o smaku dzikiej róży - Rapsodia",228,0.5,55,0.5
"Jogurt sojowy - Alpro",50,4,2.1,2.3
"Sałatka warzywna - Kaufland",150,2,13,9
"Ciastko z morelą - Biedro",253,6,29,12
"Tuńczyk Calvo",97,22,0,1
"Ciasto drożdżowe Duża Blacha - Delecta",336,8,48,12
"Serek kremow ziołowy - Aldi",244,4.4,3.2,23.5
"Zupa krem z ciecierzycy - Vital Fresh",67,3.4,10.1,1.1
"Aminomax 8000 Gaspari aminokwasy rozgałęzione",32,8,0,0
"Grzanki z chleba baltonowskiego z serem salami",298,11.7,34.2,12.7
"Wafelek Gimi śmietankowy - Społem",519,5.2,64.5,26.5
"Dżem gruszkowy z sokiem z pigwy",144,0.2,35,0.1
"Makaron pełne ziarno z żytem - Lubella",334,12,61,2.2
"Zupa krem z  ziemniaków",35,0.8,5.7,1.2
"Sok malinowy (kupny)",324,0,81,0
"Placki ziemniaczane (pieczarki, cebula, suszone pomidory)",126,3.8,24.6,1.4
"Jogurt grecki  jagodowy - Biedronka",84,7,14,0
"Żyto Ekspandowane",329,7.9,74.2,2.2
"Jogurt jogobella brzoskwinia-marakuja do picia",76,2.9,13.6,0.9
"Żurawina suszona - Farmers",213,0.3,50,0.6
"Roladka z kurczaka z papryką",165,25,1,6
"Przecier pomidorowy Passta di Pomodoro - Freshona",30,1.5,4.5,0.1
"Ciasto z fasoli",165,8,18,7
"Polskie Młyny Chleb Pszenno - Żytni ze słonecznikiem",267,9.9,41,5.5
"Owsianka Sweet & Go - Bruggen",378,12.9,61.7,7
"Płatki mix (gryczane,jęczmienne,owsiane,pszenne,żytnie)",342,11,60,3.8
"Ser podpuszczkowy twardy wędzony Scamorza",265,27,1,17
"Bułka pszenna Hamburger - Tesco",246,6.9,43,4.5
"Śmietana 22% - Piątnica",220,2.5,2.9,22
"Pizza wegetariańska na cieście francuskim Frosta",261,6,23,17
"Frytki z piekarnika moje",238,4,38,7
"Płatki zbożowe",379,13,68,7
"Sajgonki z wieprzowiną",254,6.1,24,14.2
"Halibut na parze",211,15.9,0,15.9
"Pasztet z drobiem i pomidorami",208,8.1,5.7,17
"Żurawina suszona - Helio",293,0.5,70,0.5
"Serek kanapkowy puszysty Giorno - Tesco",225,6.8,6.6,19
"Serek homogenizowany waniliowy - SM Siedlce",120,7.8,13.2,4
"Kluski na parze z jagodami",227,6.1,44.4,3.2
"Wiśnie drylowane (słoik)",76,0.4,18,0.5
"Kefir naturalny warlubski - Jagr",51,2.7,6.7,1.5
"Hot dog - CPN",436,12.2,42,25.1
"Lody stracciatella - Grycan",176,3,17,11
"Maśłanka pieczone jabłka - Tesco",74,3.2,12,1.5
"Ser Brie Figura jogurtowy",294,18,0.4,24.5
"Musztarda miodowa - Subway",125,1,27,1
"lody jogurtowe magnificent",257,4,38,10
"Surówka z selerem i rodzynkami",49,1,10,0
"Czekolada gęsta do picia",94,3.9,10.6,4
"Musli truskawkowe i czekolada - Fitella",451,9.6,61.9,16.7
"Płatki Gold Flakes - Nestle",401,7.1,80.4,4.8
"Groszek konserwowy Chira - Lidl",63,4.9,15.8,0.2
"Parówki Hot Dog - Indykpol",216,11,7,16
"Donut czekoladowy",452,4.9,51,25
"Lody Sorbet jagodowy",218,1,24,13
"Chipsy cebulowe",517,5.9,54,30
Cielęcina,105,20,0,2.2
"Śliwki suszone - Makar",300,3.5,68.9,1.2
"Filet z makreli w sosie pomidorowym - Łosoś",150,13.1,4,9
"Bulion (kostka) rosół warzywny - Asta",5,0.5,0.5,0.5
"Kiełbasa żywiecka MIX",254,22,1,18
"Pasztet Mazowiecki - Łuków",230,10,4.5,19
"Twarożek wiejski - Jogo",142,9.1,1.8,10
"Makaron ryżowy - House of Asia",368,1.6,88.6,0.8
"Chleb - Świeżak",199,4.8,42.8,1
"Kabanoski drobiowe Gryzale - Tarczyński",265,23,6.2,16
"Serek wiejski - Naramowice",83,11,2.4,3
"Podgrzybek (suszony)",127,3,27,1
"Wino białe wytrawne dobrze policzone",66,0.1,0.6,0
"Tuńczyk sałatkowy w zalewie - Spar",95,23,0,0.4
"Sos pomidorowy - Barilla",61,1.6,6.8,2.7
"Margaryna z masłem mix 70% - Rama",628,0.5,0.8,70
"Baton 32% białka - Weider",516,32,37,27
"Butter Beans, fasola biala w puszce, Tesco",89,5.9,13,0.5
"Paluszki krakersowe Crixy zielona cebulka - Felix",473,6,64,21
"Seler konserwowy 'Wyborny' - Rolnik",34,0.8,5.7,0.5
"Sałatka z kuskusem i fetą",239,7.2,25.7,10
"Krakersy serowe Party Snack",477,12,65,18
"Paluszki chlebowe Grissini z sezamem",444,15.4,63.2,13.5
"Lody koktajlowe Krówka - Kukułka - Koral",208,3.4,26,10
"Makaron muszelki - Makarony Polskie",364,13,74,1.3
"Kawa Carmel Latte Macchiato duża - McDonald's",254,9,32,16
"Miód pitny (13%)",355,0,0,0
"Serek Orzechowa Aleja - Tartare",250,7.2,3.5,23
"Surówka z łososiem - Wars",65,5,4,4
"Ser kozi - Delikate",152,8,3,12
"Lody Magnum Strawberry & White",281,3.1,35,14
"Sos francuski",440,0,5,46
"Czekolada Bubbly - Milka",535,6.4,57.5,30
"Płatki fitneski - Lubię:)",388,7.6,75,3.7
"Pizza z szynką i serem Donatello - Biedronka",224,14,25.2,7.5
"Warzywa na zupę",45,1.9,8.9,0.4
"Mus Jabłko Banan Kubuś",53,0.4,10.8,0.4
"Płatki kokosowe z błonnikiem",698,7.1,12,67
"Ciastka Alusie z polewą kakaową i wiórkami kokosowymi (dr Gerard)",543,7.3,61,29
"Kiełbasa niemiecka - German Bratwurst",309,16,1.2,27
"Jogurt Fantasia - Danone",116,2.3,14.8,5.3
"Sok pomarańczowy - Aldi",43,0,10,0
"bakoma MEN BIAŁKO",84,8,9,1.8
"Chleb miodowy",193,6.3,39.9,0.9
"Ciasto bananowo budyniowe",232,2.6,40.7,5.4
"Chleb żytni domowy mały",201,6,38.7,2
"Napój energetyczny Energy Drink Blueberry - Rockstar",57,0.5,14,0.5
"Surówka koperkowa - Piotr i Paweł",80,1.1,12,3.9
"Twarożek Ricotta Fresca - Merivio",118,8,4,8
"Kabanosy z piersi indyka - Indykpol",319,22.9,1.2,24.8
"Schab w galarecie",291,30,7,19
"Przecier pomidorowy rumuński",102,0.8,25,0.1
"Seler wiórki",32,1,5.6,0
"Golonka wieprzowa w plastrach - Wierzejki",180,18,0.5,12
"Kiełki (Beansprouts)",63,1.8,0.7,5.7
"Sok czerwony grejpfrut - Tymbark",41,0,9.5,0
"Kaczka faszerowana indykiem",204,16.7,0.5,15
"Surówka z kalarepy",43,1.8,5.7,1.6
"Bulion kostka wołowa - Winiary",16,0.3,0.8,1.3
"Soczewica czerwona TESCO",347,25,53,2
"Marmolada z dziką różą",234,0.5,57,0.5
"Tortilla żytnia z kurczakiem",146,10.6,9.7,6.9
"Kebab wegański 150g - Kalma",243,21.8,9.2,13.4
"Czekolada gorzka Dark  (70% kakao) - Luxima",519,8.3,33.8,38.5
"Cukierki pastylki miętowe bez cukru Winterfresh",398,0,96.9,1.2
"Kluski tarte szare",122,3.3,27.4,0.3
"Białko konopne",357,48.9,7.3,11.6
"Kakao - Cadbury",425,7.8,70,11.5
"Sok Jabłkowo-Marchewkowy - Royal Apple",49,0.2,11.5,0
"Pasta z suszonych pomidorów Sottile Gusto - Biedronka",326,3,5.9,31
"Płoć smażona",35,8.4,0,0.6
"Napój smoothie winogron-malina - Lidl",50,0.6,10.5,0.2
"Sałatka z jajkiem i brokułami - Lisner",233,3.8,7.4,20.3
"Tłuszcz roślinny Butella - Aldik",657,0,0,73
"Szynka Puten Brustfilet",107,21,1,2
"Lody Arietta z migdałami",241,3,19.4,15.9
"Kiełbaski Cumberland pork sausage - healthy living - Tesco",146,16,10,5
"Biszkopty 180 g - La Nuvola",344,8,71,3
"Cielęcina (mięso z kością)",129,19.2,0,5.2
"Mieszanka warzywna na patelnię z koperkiem - Hortex",57,2.2,8.1,1.2
"Jogurt Greek style low fat",55,7.4,5.3,0.5
"Ciepłe lody",329,3.2,60.7,8.4
"Soja a la mięso mielone",330,35,41,2
"Herbata z imbirem (nieparzona) - BioFix",78,1,17,1
"Tuńczyk rozdrobniony w wodzie - Marinna",80,20,0,0.5
"Sok pomidorowy - Cymes",25,0,6,0
"Czekoladki belgijskie",543,5.6,56.5,32
"Makaron penne nieugotowany - Aldi",366,13,74,2
"Jogurt grecki lekki (Mleczne Smaki Świata) - Lacpol",74,4.2,6.4,3.5
"Lody Carte D'or Advocat",200,2.5,30,7
"Sos Kowbojski - Subway",429,1.4,7.1,43
"Czekolada mleczna z bakaliami - E. Wedel",502,8,56,27
Shake,148,3.4,19.6,6.5
"Chleb słonecznikowy na zakwasie - ICA",300,13,16,19
"Śliwki suszone - Sereno",293,3.4,58,3.2
"Polędwica z kurcząt - Drobimex",96,18.9,2,1.4
"Lody Carte D'or Milka",210,3.5,28,10
"Sok marchwiowo-jabłkowo-pomarańczowo-imbirowy",44,0.6,11.8,0.2
"Fix Gulasz z kurczakiem proszek - Knorr",340,8.8,53,7.9
"Chleb mały wholemeal loaf - Aldi",222,10,38,2
"Dżem truskawkowy niskosłodzony - Anna",148,0,36,0
"Mleko H-Voll Milch 3,5%",64,3.3,4.7,3.5
"Baton chrupiący orzech - Dobra Kaloria",376,8.7,55,12
"Wafle orkiszowe pełnoziarniste",362,16,61,4
"Jogurt kozi jagodowy",78,2.8,12,2
"Baton Adaś mleczny",481,3.7,65.5,21.3
"Chrupki curly - Lorenz",500,13,56,24
"Makaron Babuni - Zwijka",146,5.4,29,1
"Mięso mielone z szynki wieprzowej do 7% tłuszczu",128,19,1.2,5
"Ser Fromage de Normandie",333,16,0,30
"Bezglutenowe ciasteczka z mąki ryżowej",230,4.2,32,10
"Przyprawa Doprawka do zupy 750 g - Netto",112,5,22,1
"Chleb wysokobiałkowy Active",199,17,22.5,4.4
"Jogurt naturalny - Strzałkowo",100,2.7,2.1,9
"Zupa krem z ciecierzycy",67,3.4,10.1,1.1
"Baton zbożowy czekoladowy",419,9.2,58.3,15.3
"Serek twarogowy bialy bez laktozy",70,13,4.3,0.3
"Włoszczyzna mrożona - Netto (mrożonka)",32,1,4,1
"Kanapka z szynką 15 cm - Subway",273,17,46,4
"krewetki białe tesco",59,13,0,0.8
"Baton Fig Bar z jagodami - Nature's Bakery",380,6,70,9
"Ser żółty Rolada Giżycka",285,24,0.1,21
"Gołąbki z pieczarkami",66,3,12,2
"Chleb z pieca graham",229,6.2,46.9,1.5
"Jogurt z kawałkami brzoskwinia marakuja - Fruvita",101,2.7,17,2.5
"Pomidory w puszce - Alnatura",26,1.5,4,0.2
"Kiełbasa z łososia",221,21,15,0.4
"Galaretka drobiowa - SmakMak",35,8,0,0
"Serek homogenizowany Cornello wiśnia i czarny bez - Fruit Jumbo",131,6.6,13.8,5
"Sałatka z kurczaka wędzonego",169,7,8,12
"Ciecierzyca - Kuchnia Lidla",364,19,61,6
"Pudding pyszny Serduszko waniliowy z sosem malinowym - Zott",71,1,16,0
"Prażynki ziemniaczane Solone",561,0.8,59,36
"Kefir lätt  truskawkowy - Arlanda",60,3.3,8.7,0.5
"Twarożek wiejski Sawuszkin",98,10.6,2.8,5
"Lody Kolorowe Lato śmietankowo-truskawkowo-czekoladowe",169,2.7,24.8,6.5
"Płatki crunchy owies/pszenica/ryż",450,9.2,59.9,19.2
"Tuńczyk w oleju roślinnym - B&K",245,23,0,17
"Chleb bezglutenowy - Tesco",228,5.1,33.3,5.7
"Kiełki czarnej rzepy",52,3.8,3.6,2.5
"Lody rożek",148,1.6,23.1,5
"Zupa krem Pani Dynia & Cynamon - Pan Pomidor & Co",34,0.6,3.2,1.5
"Pieczarki suszone",362,20,51,4.2
"Cukierki Fresh & Fruity - Wawel",365,0,90,0
"Czekoladki Thank You - Milka",565,7,49.5,36.5
"parówki wieprzowe Auchan 1",259,12,1,23
"Sałatka warzywna z papryką",173,2,11,13
"Pyzy Babci Tereni",251,7.9,45,3.7
"Warzywa na patelnię (rotfrukts) - Garant",35,1.1,5.1,0.3
"Kaszka śmietankowa - Smakija",131,3.6,15.5,6
"Ciasteczka francuskie z łososiem i szpinakiem",272,6.3,22,17.3
"Przekąska owsiano-orkiszowa Topfit - Granex",350,10,62.1,4.3
"Chipsy Stix solone - Lay's",526,5.9,52,32
"Kruche ciastka z czekoladą i wiórkami kokosowymi - Lidl",559,5.2,52,36
"dorsz smażony w panierce",232,15,17,12
"Sałatka hawajska - Salad Story",99,9,7.6,4
"Jogurt Puree Day Up",61,2,12,1.5
"Ketchup łagodny - Mikado",120,2,26,0
"Wafelki - Elitesse",544,5.6,56.3,32.2
"Serek wiejski lekki - Krasnystaw",76,10,2.2,3
"Polędwica bretońska - Sokołów",204,36,3,6
"Napój Smoothie zielony jarmużowy",70,1.2,16.5,0.3
"Ciastko herbatnik",503,6.2,62.3,24.9
"Ciastko holenderskie",44,1,6,2
"Kabanosy luksusowe Gold - Sokołów",423,23,1,36
"Czekoladki mieszanka pralin - Magnetic",473,3.5,67.2,20.7
"Ciasto Pijak",310,5.4,27.4,19.9
"Dżem morelowy Apricot Jam - Tesco",246,0.5,59.7,0.1
"Świeży sok jabłkowy - Cymes",44,0,10,0
"Sos sałatkowy włoski - Knorr",460,0,7,48
"Musli Cappuccino & Granola - Nestle",412,9.2,69.3,9
Kołacz,314,7.5,45.7,11.4
"Płatki Granola owocowa Fruits Clusters - Tesco",440,8.8,65.8,15.4
"Chipsy grubo ciachane paprykowe - Star Chips",520,6,57,30
"Jogurt morelowy - Milko",78,2.9,12,2
"Steki rybne - Frosta",213,14,12,12
"Jogurt kremowy z jeżynami - Amores",116,3.5,19.7,2.6
"Lody waniliowe w czekoladzie mlecznej z migdalami",340,4.3,27.4,22.4
"Bułeczki chłopskie",302,8,40.6,12.5
"Trec whey 100 pump - kokosowo-czekoladowy",353,81,5,1
"Sok owocowo-warzywny (jabłko,banan i marchewka) - Bobo Frut",50,0.5,11.4,0.1
"Wafle w czekoladzie milk - Sonko",460,8,67,17
"Kiełbasa sucha krakowska 'Morliny'",212,28,0.2,11
"Chipsy Tasty o smaku sera i szynki - Top",542,5.7,49,35
"Pizza na grubym cieście",356,16,42,14
"Serek Danio light o smaku waniliowym",89,5.9,10.8,2.4
"Maślanka jagodowa, brzoskwiniowa - Krasnystaw",60,3,9.9,0.9
"Mleko kokosowe - Aroy-d",185,2,2,19
"Gullon ciasteczka bezglutenowe",474,4.9,72,18
"Szprot podwędzany w sosie pomidorowym - Neptun",148,12,4.8,9
"Ser żółty rolada ustrzycka - Bluedino",238,28,0,14
"Serek homogenizowany bananowy",127,5.5,14.9,5
"Kiełbasa w plastrach Chorizo - Lidl",442,22.8,0.7,38.7
"Słonecznik Turecki solony z przyprawami - Słonpol",556,24.3,24.6,42.7
"Ciasteczka makaroniki kokosowe bezglutenowe - Tkmaxx",489,10.2,56,24.4
"Kotlet z fileta grillowany",123,25.8,0,4.9
"Lody kubek - Koral",184,2.5,23.6,8.7
"Mięso wieprzowe Leberkase (pieczeń)",308,10.3,0.2,30
"Szybki Sernik na zimno z prawdziwą wanilią (po przyrządzeniu)",158,7.2,21.3,4.9
"Zakwas Żurek staropolski 500 ml",43,1,9,0
"Pasta z tuńczykiem",361,53,25,5
"Polędwica z tuńczyka grillowana",132,28,0,1.3
"Naleśniki z serem - Wiejska Chata",169,7.8,21,5.7
"Posypka do deserów fit",427,1.7,89,3.6
"płatki jaglane z ananasem i śliwką",363,9.4,73.7,1.9
"Sok multiwitamina - Dr.Witt",41,0.2,9.9,0.1
"Tatar z łososia",341,11,0,33
"Jogurt owocowy 0% - Mlekovita",39,3.5,6,0.1
"Sok jabłko i malina 100% - Bobo Frut",45,0.3,10.4,0
"Zapiekanka z warzywami i mięsem - kociołek",94,5,7,5
"Pure whey 100% (czekolada)",403,78,10,6.7
"Galaretka z pianką cytrynowa - Winiary",67,1.7,12.4,1.2
"Pasztet drobiowy z czosnkiem - Profi",212,8.2,5,18
"Jogurt Twist malinowy - Bakoma",74,2.9,11.6,1.8
"Jogurt Jogobella 8 zbóż jabłko gruszka - Zott",107,3.6,16.7,2.6
"Gulasz z kaszą jeczmienną",117,5,15,4
"Jogurt Activia naturalny i brzoskwinie - Danone",89,3.9,11.9,2.9
"Sok z ananasa wyciskany",50,0.4,11.4,0.1
"Gyros z baraniną",143,9,19.8,2.8
"Sos boloński - Winiary",51,1.2,9.3,0.7
"Gyros z wołowiną",153,11.8,19.8,2.3
"Wiśnie w czekoladzie - Jutrzenka",419,2.6,65,15
"Herbatniki Floretki z przyprawami korzennymi",469,6.6,71.5,19.3
"Mała muffinka Raspberry - Aldi",94,1,13,5
"Czarna Fasola - Kier",74,5.3,8.2,0.8
"Dżem niskosłodzony brzoskwiniowy - Rapsodia",156,0.4,38,0.1
"Pieczywo chrupkie żytnie - Finn Crisp",310,10,62,1.9
"Ryż biały długoziarnisty - Supreme",341,7,77,0
"Zupa z ciecierzycy i pomidorów",64,3.5,4.8,4
"ciastka zbożowe z jabłkami (biedronka)",464,7.9,62,19
